id,owner_type,owner_url,owner_html_url,html_url,url,fork,created_at,updated_at,size,stargazers_count,language,has_issues,has_wiki,forks_count,forks,open_issues,watchers,commits,contributors,readme
85031442,User,https://api.github.com/users/poteto,https://github.com/poteto,https://github.com/poteto/hiring-without-whiteboards,https://api.github.com/repos/poteto/hiring-without-whiteboards,False,2017-03-15T05:09:01Z,2019-07-02T14:32:35Z,1313,12774,JavaScript,False,False,1270,1270,23,12774,,,
29247444,User,https://api.github.com/users/yaronn,https://github.com/yaronn,https://github.com/yaronn/blessed-contrib,https://api.github.com/repos/yaronn/blessed-contrib,False,2015-01-14T14:18:07Z,2019-07-01T18:56:06Z,5326,12764,JavaScript,True,True,691,691,54,12764,,,
4598984,User,https://api.github.com/users/FelisCatus,https://github.com/FelisCatus,https://github.com/FelisCatus/SwitchyOmega,https://api.github.com/repos/FelisCatus/SwitchyOmega,False,2012-06-08T15:32:30Z,2019-07-02T12:44:29Z,1942,12763,CoffeeScript,True,True,2130,2130,214,12763,,,
9325315,Organization,https://api.github.com/users/strongloop,https://github.com/strongloop,https://github.com/strongloop/loopback,https://api.github.com/repos/strongloop/loopback,False,2013-04-09T16:02:18Z,2019-07-02T14:46:58Z,8568,12755,JavaScript,True,True,1176,1176,195,12755,,,
96641209,Organization,https://api.github.com/users/shieldfy,https://github.com/shieldfy,https://github.com/shieldfy/API-Security-Checklist,https://api.github.com/repos/shieldfy/API-Security-Checklist,False,2017-07-08T20:01:38Z,2019-07-02T16:20:22Z,286,12754,,True,True,1282,1282,15,12754,,,
75642389,Organization,https://api.github.com/users/material-components,https://github.com/material-components,https://github.com/material-components/material-components-web,https://api.github.com/repos/material-components/material-components-web,False,2016-12-05T16:04:09Z,2019-07-02T14:05:03Z,80894,12753,JavaScript,True,False,1652,1652,362,12753,,,
931039,Organization,https://api.github.com/users/browserify,https://github.com/browserify,https://github.com/browserify/browserify,https://api.github.com/repos/browserify/browserify,False,2010-09-22T16:11:32Z,2019-07-02T03:16:43Z,2421,12752,JavaScript,True,True,1118,1118,342,12752,,,
51994692,User,https://api.github.com/users/geeeeeeeeek,https://github.com/geeeeeeeeek,https://github.com/geeeeeeeeek/electronic-wechat,https://api.github.com/repos/geeeeeeeeek/electronic-wechat,False,2016-02-18T09:09:53Z,2019-07-02T13:41:35Z,1114,12673,JavaScript,True,True,2337,2337,208,12673,,,
18962767,User,https://api.github.com/users/ty4z2008,https://github.com/ty4z2008,https://github.com/ty4z2008/Qix,https://api.github.com/repos/ty4z2008/Qix,False,2014-04-20T11:03:15Z,2019-07-02T13:05:46Z,2151,12668,,True,True,4680,4680,0,12668,,,
12104024,Organization,https://api.github.com/users/datasciencemasters,https://github.com/datasciencemasters,https://github.com/datasciencemasters/go,https://api.github.com/repos/datasciencemasters/go,False,2013-08-14T08:33:55Z,2019-07-02T11:38:46Z,1261,12649,,True,True,5062,5062,73,12649,,,
62156403,Organization,https://api.github.com/users/QSCTech,https://github.com/QSCTech,https://github.com/QSCTech/zju-icicles,https://api.github.com/repos/QSCTech/zju-icicles,False,2016-06-28T16:17:32Z,2019-07-02T15:28:08Z,1507860,12637,C,True,True,3876,3876,9,12637,,,
126147399,Organization,https://api.github.com/users/RelaxedJS,https://github.com/RelaxedJS,https://github.com/RelaxedJS/ReLaXed,https://api.github.com/repos/RelaxedJS/ReLaXed,False,2018-03-21T08:33:48Z,2019-07-02T09:13:48Z,814,10999,JavaScript,True,True,394,394,38,10999,,,
138331573,User,https://api.github.com/users/sebastianruder,https://github.com/sebastianruder,https://github.com/sebastianruder/NLP-progress,https://api.github.com/repos/sebastianruder/NLP-progress,False,2018-06-22T17:43:55Z,2019-07-02T15:16:30Z,809,10999,Python,True,True,1798,1798,16,10999,,,
45896779,Organization,https://api.github.com/users/jikexueyuanwiki,https://github.com/jikexueyuanwiki,https://github.com/jikexueyuanwiki/tensorflow-zh,https://api.github.com/repos/jikexueyuanwiki/tensorflow-zh,False,2015-11-10T07:59:30Z,2019-07-02T14:12:44Z,44266,10968,TeX,True,True,4091,4091,28,10968,,,
